EMP_ID,AGE,GENDER,STATUS,EMPLOYMENT,SUFFICIENT_INCOME,SALARY,TO_DO_COMPLETED,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,FLOW,DAILY_STEPS,SLEEP_HOURS,LOST_VACATION,PERSONAL_AWARDS,TIME_FOR_HOBBY,HEALTHY_DIET,WORK_LIFE_BALANCE_SCORE
19,49,0,2,1,1,1,6,3,7,10,5,6,2,8,9,0,5,4,5,727.8
20,49,1,2,1,1,0,8,1,10,10,6,3,4,1,8,0,5,1,3,687.1
21,34,1,0,1,1,0,8,4,8,6,5,1,1,4,4,0,3,2,2,652.9
22,34,0,0,0,1,1,10,5,4,5,3,2,6,3,7,5,10,10,3,668.6
23,49,1,3,0,1,0,4,2,6,10,10,6,4,3,7,1,10,6,5,709.4
24,49,1,2,0,1,1,10,2,10,10,10,10,6,7,7,0,10,5,2,752.7
25,49,0,2,1,1,0,6,4,10,5,5,6,1,7,6,0,1,3,2,677.7
26,34,1,3,0,1,1,2,5,3,6,5,3,2,8,7,0,5,1,1,633.9
27,34,1,3,1,1,0,1,4,2,5,3,1,5,8,7,0,2,1,1,628.8
28,34,0,2,1,1,0,6,4,3,10,7,8,0,5,7,0,10,2,2,692.8
29,49,0,3,1,1,1,4,4,4,7,10,3,1,10,6,0,7,2,3,673.2
30,24,0,2,0,1,1,7,2,3,1,2,3,2,4,7,0,10,1,4,673.9
31,34,1,1,1,1,1,7,3,3,7,5,3,2,10,7,0,10,5,5,712.5
32,49,0,3,1,1,1,5,1,5,2,10,4,4,3,8,0,10,4,3,692.6
33,49,0,3,1,1,1,4,5,3,3,8,1,4,1,6,10,3,2,0,574.5
34,52,0,0,1,1,1,2,3,3,2,3,2,2,5,8,0,4,3,1,630.1
35,34,1,2,0,1,1,10,2,6,10,8,10,2,10,7,0,10,4,4,746.5
36,34,1,0,0,1,0,3,3,2,0,5,0,1,2,6,0,2,2,3,591.7
37,52,0,3,1,2,2,5,3,4,10,8,10,5,2,6,0,10,6,2,729.4
38,49,0,0,1,1,1,2,5,8,5,2,2,0,10,8,7,2,0,2,593.7
39,52,1,1,0,1,0,8,1,10,10,10,5,3,7,6,7,6,4,4,682.8
40,52,0,3,1,2,2,8,3,6,10,7,3,5,3,9,0,6,6,5,723.4
41,34,0,0,1,2,2,5,2,8,8,4,6,4,3,7,10,5,4,4,687.3
42,52,0,1,0,2,2,0,3,8,10,3,2,0,3,5,0,4,0,4,635.9
43,52,0,1,0,1,1,5,3,8,10,10,1,0,2,9,0,10,0,2,655.2
44,34,1,1,0,1,1,7,2,1,1,10,3,5,7,7,4,3,5,3,652.4
45,49,0,0,1,2,2,7,3,10,3,4,0,1,8,8,0,2,2,2,657.9
46,49,0,0,1,2,2,10,5,2,9,10,5,1,10,5,10,7,2,3,686.6
47,52,0,1,0,1,1,7,3,10,10,6,4,4,10,6,5,8,4,5,732.7
48,34,0,3,0,1,1,6,2,10,5,8,5,3,10,8,2,10,3,4,685.5
49,52,0,0,1,1,0,10,2,10,10,10,8,3,7,7,1,10,3,3,742.5
50,49,0,1,0,1,1,7,3,10,10,10,5,4,2,8,0,4,1,2,663.5
51,34,0,0,0,1,1,4,3,3,10,10,5,6,8,7,0,4,5,4,710.4
52,34,0,2,1,1,1,8,5,9,5,10,4,4,10,8,10,3,3,3,658.3
53,49,1,3,0,1,1,5,2,6,1,10,4,1,5,6,0,8,1,1,633.1
54,52,0,2,1,1,0,5,2,6,4,9,3,3,6,8,0,2,3,5,677.9
55,34,0,2,1,1,1,4,2,10,10,2,5,2,1,6,10,3,4,4,640.8
56,24,0,0,0,1,1,0,4,1,1,7,1,5,3,6,10,2,2,1,557.9
57,49,0,2,1,1,1,6,2,6,2,10,1,3,5,8,3,10,1,4,669.2
58,49,1,2,1,1,1,4,4,6,5,10,7,4,10,7,0,6,4,5,712.5
59,52,0,0,1,1,0,9,3,1,10,2,4,2,10,7,0,10,1,4,712.5
60,34,1,3,1,1,1,0,5,2,1,2,0,0,1,10,0,1,0,0,571.9
61,34,1,2,0,1,0,1,5,2,1,2,1,0,1,10,0,1,0,0,575.3
62,34,0,1,1,1,0,7,3,7,5,8,5,3,8,7,10,3,9,4,678.1
63,34,1,3,0,1,0,4,2,5,4,4,2,4,6,7,8,4,8,5,648.8
64,34,1,1,1,1,0,5,1,2,1,5,1,4,8,6,5,4,1,1,649.0
65,49,0,2,1,1,0,5,5,4,10,0,10,1,2,9,0,10,1,2,656.9
66,34,0,3,0,1,0,8,3,8,7,6,6,4,5,6,4,5,4,3,680.7
67,34,0,0,1,1,0,8,3,8,7,6,6,4,5,6,4,5,4,3,663.7
68,34,1,1,0,1,1,5,1,3,2,4,1,2,10,7,0,5,3,2,661.5
69,52,0,0,1,1,1,0,1,1,1,3,1,0,6,7,2,3,1,3,609.7
70,34,0,0,0,1,0,7,2,4,10,10,1,0,1,8,0,6,2,3,656.5
71,34,1,1,0,1,0,9,3,10,10,10,3,3,8,8,0,5,6,4,739.5
72,34,0,1,1,1,1,8,5,0,2,3,0,2,10,4,0,5,1,3,657.5
73,49,0,1,0,1,0,1,4,2,2,3,1,0,4,4,0,1,0,0,528.8
74,52,1,3,1,1,0,10,3,8,10,10,4,2,7,6,10,10,1,4,694.7
75,52,0,1,1,1,0,10,1,4,2,2,0,1,4,8,10,4,5,5,662.2
76,34,0,1,0,1,0,8,2,1,10,10,3,2,5,7,1,5,2,5,704.7
77,49,0,3,1,1,1,8,2,1,4,5,0,2,10,8,0,10,1,5,694.0
78,49,0,0,0,1,0,8,2,1,4,5,0,2,10,8,0,10,1,5,694.0
79,34,0,0,0,1,0,8,3,10,5,7,3,4,10,8,0,10,3,3,709.3
80,34,1,3,0,1,0,0,5,2,0,0,3,1,1,6,10,2,1,0,538.8
81,24,1,0,0,1,0,2,1,2,1,3,4,2,8,8,0,1,1,1,654.5
82,52,0,0,1,1,0,10,1,4,10,4,5,1,1,8,0,0,3,5,680.3
83,34,1,3,1,1,0,0,5,2,0,0,3,1,1,6,10,2,1,0,538.8
84,34,0,2,1,1,1,7,4,7,5,7,8,2,3,6,6,10,0,3,651.4
85,34,0,0,1,1,0,9,2,5,5,10,5,4,2,8,0,7,5,5,724.7
86,52,0,1,1,1,1,5,2,6,10,10,5,2,6,6,1,8,2,5,677.5
87,52,0,3,0,1,1,6,4,2,10,10,6,5,7,6,10,10,3,4,696.4
88,49,0,1,1,1,0,8,4,6,4,5,3,1,2,8,0,10,6,2,658.4
89,49,0,0,0,1,0,10,0,3,10,7,6,4,8,8,0,10,5,5,749.7
90,49,0,1,1,1,0,10,0,3,10,7,6,4,8,8,0,10,5,5,749.7
91,49,0,3,1,1,0,6,4,7,4,4,10,1,9,6,0,7,1,3,676.4
92,34,0,3,0,1,0,1,4,4,2,5,2,1,9,6,7,2,0,3,594.8
93,34,0,3,0,1,1,9,3,1,10,10,8,5,10,8,2,8,5,5,758.6
94,34,1,2,0,1,0,5,4,1,4,3,4,0,7,6,1,10,1,3,640.3
95,49,1,1,1,1,0,8,2,3,8,10,2,1,8,7,2,2,1,3,678.1
96,49,1,0,0,1,1,8,3,4,10,10,3,3,4,6,0,10,1,2,678.8
97,49,0,0,0,1,0,1,5,1,1,3,4,0,1,10,10,3,0,1,551.5
98,34,0,1,0,1,0,9,5,2,10,8,1,2,10,6,3,4,2,5,639.2
99,34,0,1,1,1,1,9,3,6,10,10,8,6,7,7,5,7,5,1,718.7
100,34,0,0,0,1,0,9,3,6,7,10,7,4,5,7,4,7,3,1,697.9
101,52,0,2,0,1,1,5,3,3,5,5,5,3,4,7,0,5,4,2,670.5
102,49,0,3,1,1,0,4,3,10,10,10,2,3,3,7,7,5,2,4,666.9
103,34,1,3,1,1,0,4,4,10,4,8,6,0,8,6,0,4,2,5,638.8
104,34,0,2,1,1,1,3,4,3,10,8,0,1,5,6,0,4,5,5,651.8
105,34,1,2,1,1,0,8,2,3,2,3,4,3,10,9,8,4,2,3,639.8
106,49,0,0,0,1,0,5,2,8,8,5,3,1,6,7,0,2,2,3,687.9
107,34,0,2,0,1,1,1,3,10,3,4,0,2,2,7,9,1,0,2,593.6
108,34,0,2,0,1,1,6,4,8,8,3,1,1,5,8,10,10,1,3,626.7
109,34,1,3,0,1,1,7,2,1,0,10,10,3,3,6,1,10,1,2,658.2
110,52,0,0,0,1,0,8,2,4,1,1,1,0,1,7,0,5,5,1,605.3
111,49,0,3,0,1,0,5,2,6,5,9,6,4,1,6,3,10,2,3,645.9
112,34,1,3,0,1,0,4,2,6,3,2,5,3,6,8,2,5,5,2,669.4
113,34,0,3,1,1,0,2,3,5,1,2,1,1,10,7,0,0,0,1,605.4
114,52,0,2,0,1,1,9,2,7,7,5,3,2,5,6,0,5,2,3,690.9
115,24,0,0,0,1,1,7,2,7,4,3,5,7,1,9,8,10,5,5,709.4
116,24,0,3,1,1,0,7,2,7,4,3,5,7,1,9,8,10,5,5,709.4
117,34,0,1,1,1,0,10,5,3,2,10,0,1,10,6,0,0,3,3,627.3
118,52,0,3,0,1,0,5,5,10,3,2,4,2,4,8,0,10,3,2,643.5
119,34,1,2,0,1,0,5,1,0,0,6,2,2,8,7,2,5,4,2,637.3
120,34,0,3,1,1,1,5,2,8,4,5,2,1,9,10,0,1,2,1,665.3
121,34,0,3,1,1,0,5,2,8,4,5,2,1,9,10,0,1,2,1,665.3
122,34,1,1,0,1,0,7,2,5,6,5,8,3,10,9,5,8,3,5,714.6
123,34,0,2,0,1,1,9,3,6,5,10,2,3,9,5,2,3,5,5,649.0
124,49,0,1,0,1,1,9,2,4,4,10,4,2,10,7,0,9,1,5,717.6
125,49,1,2,1,1,1,8,4,3,10,10,8,2,10,7,0,10,2,5,748.2
126,49,0,2,1,1,1,3,5,7,2,5,1,1,9,7,0,6,0,3,637.5
127,34,0,0,0,1,1,3,3,7,2,5,2,2,9,4,0,5,1,2,628.4
128,24,1,3,0,1,0,3,4,5,0,5,2,4,3,5,0,2,4,3,634.2
129,34,1,1,1,1,0,2,4,7,4,4,3,0,3,9,1,5,3,5,653.7
130,34,1,1,0,1,1,8,3,5,6,2,10,2,10,8,10,10,4,1,656.6
131,49,0,2,1,1,0,10,0,10,2,5,2,1,1,10,0,1,7,2,670.5
132,49,0,3,0,1,1,2,2,1,3,7,1,1,1,8,5,0,0,1,588.5
133,49,0,0,0,1,0,8,3,3,2,8,3,3,6,8,0,10,1,2,672.8
134,34,1,0,0,1,0,7,4,3,3,10,4,2,10,6,3,6,3,5,695.3
135,49,1,3,1,1,1,6,3,5,6,5,1,1,2,6,0,5,1,2,591.7
136,34,0,3,1,1,1,8,2,5,1,10,2,3,5,9,0,3,1,3,649.0
137,52,0,0,0,1,0,8,3,10,6,10,4,4,7,7,5,10,2,5,708.5
138,24,0,3,1,1,0,9,1,6,6,4,6,4,3,6,0,10,2,1,673.5
139,34,0,1,0,1,1,1,4,1,8,3,1,1,4,5,0,1,0,0,595.3
140,52,0,1,1,1,1,4,4,6,10,10,0,1,10,7,5,10,6,3,671.7
141,24,0,3,0,1,1,0,4,4,2,3,3,1,10,5,2,0,2,3,625.4
142,24,1,2,1,1,1,7,1,6,2,7,5,6,7,10,0,1,3,5,705.7
143,49,1,2,1,1,0,10,2,10,8,10,6,5,9,9,0,10,6,5,753.5
144,24,1,3,1,1,0,8,1,4,2,10,5,8,8,10,0,1,5,5,707.6
145,24,1,3,1,1,1,9,0,4,4,8,1,7,10,10,0,3,5,5,713.1
146,52,0,0,0,1,1,9,2,4,7,1,3,1,7,6,1,4,8,5,687.9
147,52,0,0,0,1,1,5,3,4,10,8,10,5,2,6,0,10,6,2,729.4
148,52,0,1,1,1,1,8,3,10,5,5,10,2,5,7,10,5,3,5,665.6
149,34,1,3,0,1,0,2,2,3,1,2,0,0,2,8,0,4,0,1,576.8
150,49,0,1,1,1,1,3,5,6,2,4,6,1,5,6,10,10,3,2,602.5
151,49,0,0,0,1,0,5,4,5,8,4,3,4,7,6,10,5,2,3,669.2
152,49,0,1,1,1,0,6,2,6,4,4,5,2,4,7,0,8,4,2,680.7
153,49,0,1,1,1,1,4,5,5,10,10,3,5,4,9,0,3,9,5,694.7
154,49,0,1,0,1,0,3,4,2,10,3,1,4,1,9,7,3,0,3,612.5
155,49,1,0,1,1,0,7,3,6,4,7,1,2,5,7,1,6,2,4,679.2
156,34,1,0,1,1,0,7,3,3,0,10,3,6,3,8,5,10,6,2,677.3
157,49,0,0,1,1,1,10,1,8,10,10,3,6,6,7,0,4,1,5,730.4
158,49,0,0,1,1,1,10,5,3,6,4,3,4,2,8,0,10,4,3,658.4
159,49,0,3,0,1,1,9,3,4,10,2,5,1,4,6,0,7,2,5,714.5
160,24,0,2,1,1,0,0,5,5,6,10,0,4,6,6,10,10,1,5,619.7
161,34,0,1,0,1,0,8,3,7,4,5,2,2,6,7,0,7,3,4,672.6
162,49,0,2,0,1,1,8,3,2,3,3,0,0,3,8,0,2,0,3,602.5
163,52,0,3,1,1,1,8,3,7,10,4,2,2,5,7,4,9,1,4,689.4
164,52,1,2,1,1,1,8,2,10,6,6,4,10,2,7,4,10,4,3,683.7
165,52,1,2,0,1,1,8,2,10,6,6,4,10,2,7,4,10,4,3,683.7
166,52,0,1,1,1,1,9,5,1,6,4,4,6,4,6,6,6,0,1,632.9
167,34,1,2,1,1,1,5,1,5,3,7,5,2,5,8,0,10,1,1,665.8
168,52,0,0,0,1,0,10,3,10,10,6,6,7,6,6,0,5,6,5,733.6
169,52,0,3,0,1,1,8,2,10,10,10,2,2,10,8,0,3,2,5,711.0
170,34,1,0,1,1,1,2,3,2,2,1,2,0,3,10,10,2,0,1,558.7
171,52,0,0,1,1,1,10,3,10,10,10,5,9,10,8,0,7,10,4,753.5
172,34,0,2,0,1,1,6,2,3,2,5,4,3,3,7,2,8,4,3,636.3
173,34,0,2,1,1,0,4,3,8,4,1,2,1,2,9,10,7,1,3,604.2
174,52,1,0,0,1,1,2,4,6,10,7,2,5,2,5,4,8,1,1,620.4
175,34,0,3,1,1,1,7,4,5,10,6,3,1,10,5,7,0,0,3,645.8
176,34,1,3,1,1,1,6,4,1,4,1,3,2,9,6,10,4,1,3,594.8
177,34,1,2,1,1,1,10,3,10,1,10,7,5,10,6,10,6,5,2,674.9
178,52,0,1,1,1,1,10,3,5,8,10,5,5,10,6,0,4,4,5,715.7
179,52,1,2,1,1,0,1,1,2,0,1,1,2,1,6,0,5,0,2,596.6
180,24,1,3,0,1,0,4,1,4,2,4,6,3,2,8,3,10,3,5,680.5
181,24,1,1,1,1,0,4,1,4,2,4,6,3,2,8,3,10,3,5,680.5
182,49,0,2,1,1,0,10,2,8,8,8,0,5,10,7,0,7,1,3,715.9
183,52,0,3,1,1,1,5,3,5,8,2,2,2,10,7,0,5,1,3,639.4
184,34,0,3,0,1,1,5,1,3,0,9,5,3,7,8,0,2,1,5,698.5
185,34,1,1,1,1,0,2,1,9,8,10,1,1,2,8,2,8,0,0,639.7
186,52,0,3,1,1,0,5,4,4,10,4,4,3,5,7,0,5,10,4,714.9
187,34,0,0,0,2,2,3,2,4,4,5,3,2,9,7,10,7,2,2,657.9
188,52,0,2,0,2,2,5,2,6,1,10,1,6,3,8,0,4,1,4,658.6
189,52,0,0,0,2,2,10,1,10,10,5,3,6,6,8,10,10,4,5,732.3
190,52,0,0,0,1,0,10,2,3,3,10,10,1,4,7,0,10,10,5,706.2
191,34,0,3,1,1,1,9,4,7,6,6,1,1,9,5,0,4,0,3,642.2
192,52,0,3,1,1,1,4,2,3,4,5,4,5,7,9,3,8,2,5,702.1
193,34,0,1,0,1,1,5,3,10,10,8,5,3,6,7,0,10,5,2,699.8
194,52,1,2,1,1,0,7,2,2,10,10,0,6,5,7,10,5,8,4,665.6
195,24,0,2,0,1,0,7,3,9,8,5,4,7,1,10,3,3,6,3,677.3
196,49,0,3,0,1,1,7,2,8,10,10,5,5,10,7,0,10,4,5,729.5
197,34,0,2,0,1,1,2,3,5,4,5,4,2,1,6,0,5,1,0,628.9
198,34,0,0,0,1,1,2,5,4,4,4,0,0,1,8,0,2,1,2,583.4
199,34,1,2,1,1,1,5,4,4,0,3,2,3,1,8,5,3,5,0,597.0
200,34,0,3,1,1,0,6,4,10,7,3,4,0,8,7,5,10,3,5,679.8
201,49,1,0,1,1,1,2,4,0,9,8,0,2,4,9,0,4,4,2,628.4
202,49,1,3,1,1,1,2,4,10,5,5,3,2,1,5,0,10,0,2,627.0
203,34,1,3,1,1,1,7,1,8,10,5,0,8,7,8,0,10,10,2,739.3
204,49,0,3,0,1,1,8,4,10,10,7,8,4,10,8,0,7,7,4,704.2
205,24,0,1,1,1,1,4,4,6,5,7,5,1,1,7,0,10,2,1,661.4
206,34,0,0,0,1,0,6,4,10,7,3,4,0,8,7,5,10,3,5,679.8
207,49,1,3,1,1,0,8,4,8,4,4,0,3,4,6,6,5,1,2,615.9
208,52,0,0,0,1,0,8,4,5,7,7,7,7,8,8,0,10,4,4,741.2
209,49,1,2,1,1,0,7,1,3,10,3,3,2,10,8,0,5,5,3,677.0
210,49,1,3,1,1,1,7,1,3,10,3,3,2,10,8,0,5,5,3,677.0
211,52,1,0,0,1,1,9,4,5,3,10,4,1,3,7,3,10,1,4,644.8
212,34,1,0,0,1,1,8,1,4,10,10,4,7,10,6,0,5,5,1,727.6
213,34,1,0,0,1,0,8,1,4,10,10,4,7,10,6,0,5,5,1,727.6
214,49,0,1,1,1,1,7,4,1,10,1,3,2,3,6,5,10,1,3,608.9
215,34,0,0,0,1,1,9,1,9,10,10,5,6,2,7,0,10,6,3,734.7
216,34,0,3,1,1,1,2,4,10,6,2,2,2,3,10,0,10,1,1,650.5
217,34,1,1,0,1,1,6,0,9,8,6,4,6,8,9,1,10,3,5,743.1
218,52,0,2,0,1,0,8,1,10,10,10,10,10,5,9,10,10,5,3,725.5
219,34,1,0,1,1,0,8,1,7,7,10,7,10,8,6,0,10,5,5,749.3
220,49,0,2,1,1,1,8,4,5,4,10,6,7,10,6,0,7,5,3,703.8
221,52,0,3,0,1,0,5,5,4,5,10,4,3,8,6,5,5,2,4,660.9
222,49,1,0,0,1,1,5,2,10,10,4,6,6,2,7,0,5,5,4,702.4
223,49,1,0,1,1,0,4,5,2,10,10,3,4,5,10,10,10,2,2,639.0
224,49,1,2,1,1,0,4,5,2,10,10,3,4,5,10,10,10,2,2,639.0
225,34,1,3,0,1,0,4,3,4,4,2,3,0,1,9,0,2,0,1,609.1
226,52,1,2,1,1,0,0,0,3,10,5,0,0,9,4,0,2,4,5,645.4
227,49,0,3,0,1,1,6,2,5,4,9,5,2,7,8,0,9,3,4,688.3
228,49,0,2,0,1,1,6,2,5,4,9,5,2,7,8,0,9,3,4,688.3
229,34,0,0,0,1,1,6,1,9,3,4,6,2,4,9,0,6,3,4,698.1
230,34,0,1,0,1,0,3,5,5,3,2,4,3,8,6,8,4,3,5,615.0
231,49,0,1,1,1,1,9,2,8,8,7,8,5,9,7,7,6,5,4,727.6
232,49,0,0,1,1,1,6,1,10,7,8,10,8,5,7,7,10,3,4,720.0
233,49,0,2,0,1,1,6,3,10,10,10,10,6,10,7,7,4,4,5,727.8
234,52,0,1,1,1,1,10,0,10,10,10,6,6,8,8,0,10,3,5,754.8
235,49,1,1,0,1,0,6,4,4,3,4,3,4,3,6,0,4,1,1,624.2
236,49,0,2,0,1,1,8,2,4,3,6,7,1,7,8,0,4,1,4,676.4
237,34,1,2,1,1,1,3,4,1,0,0,0,0,2,7,3,2,0,3,573.2
238,52,0,2,0,1,1,0,5,1,10,0,0,5,1,5,10,10,0,2,581.1
239,49,0,0,0,1,0,6,3,2,3,5,2,1,3,7,10,2,2,5,624.4
240,34,0,0,0,1,0,5,1,5,4,7,4,3,6,8,10,4,5,3,667.7
241,34,1,1,0,1,1,4,2,3,6,3,8,4,6,8,0,4,5,4,667.7
242,34,0,0,0,2,2,6,2,10,10,5,10,4,6,8,0,10,6,5,754.4
243,49,0,0,1,2,2,6,3,9,4,10,7,4,6,6,0,10,3,4,706.4
244,52,1,0,1,2,2,1,5,4,3,9,3,2,8,5,6,4,1,5,645.4
245,49,0,3,1,1,1,3,3,3,1,5,1,3,1,5,4,4,8,1,598.1
246,34,1,2,1,1,0,3,2,8,1,3,0,1,7,7,10,5,0,2,625.2
247,34,1,1,0,1,0,7,1,10,10,10,10,5,3,7,10,10,2,5,728.1
248,52,0,2,1,1,1,4,3,2,10,8,1,0,2,7,0,7,0,4,668.4
249,49,0,2,1,1,0,8,3,3,2,8,3,3,6,8,0,10,1,2,672.8
250,52,0,2,0,1,1,7,4,10,10,10,2,5,8,6,0,10,6,5,710.2
251,24,1,3,0,1,0,3,2,2,0,6,1,2,3,7,10,0,4,1,629.5
252,49,0,1,0,1,1,5,3,10,7,10,1,10,8,6,0,5,2,2,693.2
253,34,1,2,0,1,0,3,4,5,10,10,4,1,6,7,10,3,2,4,638.6
254,49,1,2,0,1,0,6,3,10,7,10,7,6,7,8,0,10,4,4,729.1
255,52,1,1,0,1,0,2,3,3,1,3,2,8,4,6,5,8,1,2,607.4
256,34,1,2,1,1,1,8,4,5,8,10,1,2,9,7,0,7,1,4,685.1
257,34,0,3,1,1,1,5,5,5,2,10,4,6,5,8,5,3,3,2,655.6
258,49,0,3,1,1,0,9,1,2,10,2,2,2,5,8,0,5,5,2,664.1
259,34,0,3,0,1,1,4,2,8,6,3,5,1,3,8,0,7,1,2,672.2
260,52,1,2,1,1,1,7,2,6,8,7,3,2,2,7,0,5,5,1,665.0
261,49,0,1,0,1,0,4,2,10,10,7,10,4,4,6,4,10,5,2,687.3
262,52,0,3,0,1,0,9,1,3,0,5,1,5,4,8,10,4,3,5,646.9
263,52,1,3,1,1,0,8,4,6,10,2,8,1,8,8,5,7,1,4,681.7
264,52,1,2,1,2,2,10,1,8,10,8,8,2,10,7,0,6,5,4,741.4
265,34,0,1,0,2,2,9,1,4,10,10,10,6,10,8,8,10,7,3,722.9
266,24,0,1,0,2,2,2,4,6,0,4,7,2,8,9,6,2,0,3,620.7
267,24,0,2,0,2,2,3,4,4,0,3,0,0,8,8,7,1,0,3,589.9
268,34,1,3,0,1,1,10,1,5,3,10,5,3,5,7,0,10,2,5,720.0
269,34,0,0,1,2,2,1,3,1,3,1,1,0,5,8,10,3,1,3,575.7
270,52,0,1,1,2,2,3,1,10,6,10,2,6,5,6,5,5,0,5,684.1
271,49,0,2,1,2,2,7,2,10,10,10,10,10,5,7,8,10,10,5,769.3
272,49,0,1,1,2,2,1,3,3,3,6,4,2,3,6,5,6,1,2,620.8
273,34,0,0,0,1,0,3,5,4,2,10,2,5,1,4,5,10,8,1,601.3
274,52,0,2,0,2,2,10,2,10,10,10,10,10,8,5,5,10,10,5,771.2
275,52,0,0,0,1,0,7,2,4,10,5,1,1,8,7,0,4,1,4,671.3
276,34,1,2,0,1,1,5,5,8,2,7,4,1,2,7,5,3,3,4,649.7
277,34,1,3,0,1,0,3,4,5,6,3,1,1,5,5,10,10,1,1,600.6
278,49,0,3,0,1,0,10,2,3,10,10,4,0,8,7,0,5,2,4,700.2
279,49,0,0,1,1,1,10,2,4,0,4,1,0,10,6,0,2,0,4,646.0
280,49,0,3,1,1,0,5,1,5,3,7,2,7,3,7,0,3,6,0,636.3
281,34,0,0,0,1,0,7,3,8,6,10,3,1,2,6,0,6,0,2,681.8
282,49,1,0,1,1,0,5,1,9,9,10,8,9,5,5,10,7,9,3,699.2
283,52,0,2,0,1,0,6,4,5,5,7,2,1,2,6,0,4,3,4,642.7
284,34,0,0,1,1,1,3,3,4,2,10,6,2,7,5,3,6,2,3,665.6
285,52,1,2,0,1,1,5,0,6,5,6,2,1,5,6,0,5,10,5,684.1
286,49,1,2,1,1,0,1,3,10,4,6,3,2,6,6,7,7,2,2,641.8
287,52,0,1,1,1,1,5,4,1,10,10,2,4,1,8,5,2,5,1,627.6
288,49,1,2,1,1,0,7,5,2,10,10,5,3,5,5,0,10,1,3,673.7
289,52,1,3,1,1,0,8,4,4,10,6,10,1,3,7,0,10,3,1,682.2
290,49,0,0,1,1,1,5,3,3,1,5,0,0,1,6,7,2,0,1,579.6
291,52,0,1,0,1,1,0,2,5,5,2,2,3,3,7,0,5,4,5,656.7
292,24,0,0,0,1,1,8,2,2,1,2,4,4,5,8,0,8,4,5,655.6
293,24,1,0,1,1,1,6,2,6,5,6,7,8,8,9,0,5,6,5,709.1
294,34,0,3,1,1,0,1,5,3,1,1,0,1,5,9,5,1,0,5,553.8
295,34,0,3,1,1,0,3,4,4,1,7,1,3,7,8,5,7,0,3,630.5
296,24,0,0,1,1,0,8,1,8,10,6,3,7,6,8,0,8,4,2,710.2
297,49,0,3,1,1,1,8,1,10,10,7,10,5,8,5,8,10,4,3,754.2
298,49,0,3,0,1,1,4,3,6,4,10,5,3,6,6,0,10,1,3,657.1
299,34,0,0,1,1,0,9,5,4,3,10,2,3,10,6,8,2,2,2,610.3
300,34,1,0,1,1,1,1,3,0,0,2,1,0,1,7,10,2,0,1,556.0
301,34,1,2,1,1,1,0,5,1,3,10,0,1,5,6,10,0,0,4,554.9
302,49,1,0,1,1,1,7,1,2,10,5,2,4,2,6,0,4,4,3,683.5
303,34,0,3,0,1,1,10,2,3,6,6,5,2,10,8,1,10,5,5,721.2
304,34,1,0,1,1,0,9,3,6,5,10,3,5,4,7,0,4,4,2,668.8
305,49,1,3,1,1,1,7,2,5,2,10,2,3,5,7,5,1,5,2,638.4
306,34,0,1,0,1,0,5,5,2,2,0,2,1,2,6,10,3,0,5,559.4
307,49,1,3,1,1,0,6,4,3,0,10,9,3,7,8,7,10,2,2,679.8
308,34,1,3,1,1,0,4,1,2,3,1,3,2,5,5,2,7,5,2,632.9
